State,County,county_geoid,Remove from Map,Percent Students Enrolled in CNC,Students Enrolled in CNC Schools,Number of Districts,Number of Schools,Number of Counselors,Number of Law Enforcement,Sum of Counselors,Number Cop no Counselor Schools,White Students Enrolled,White Students Enrolled in CNC,MTW Status,latitude,longitude,MTW Status,DISTRICT,SCHOOL,MTW Status,Number of Social Workers,Number of Psychologists,Number of Nurses,Number of Teachers,MTW Status,MTW Status
MI,Muskegon,26121,,11.6%,3286,16,62,38.7,14.25,0,7,19857,2743,Matching,43.42382,-86.360663,Matching,Montague Area Public Schools,Montague High School,Matching,29.22,16.1,8.5,1514.24,Matching,Matching
TX,Marion,48315,1,11.6%,140,1,4,3,4,0,1,640,61,Matching,32.76,-94.36,Matching,JEFFERSON ISD,JEFFERSON H S,Matching,0,0.1,2.9,97.4,Matching,Matching
OK,Delaware,40041,,11.5%,780,9,20,18.25,7.75,0,2,2663,275,Matching,36.17,-94.64,Matching,WATTS,WATTS HS,Matching,1,0.75,11,479.83,Matching,Matching
MN,Otter Tail,27111,,11.4%,1122,12,34,21.5,3.1,0,3,8432,993,Matching,46.52,-95.37,Matching,NEW YORK MILLS PUBLIC SCHOOL DIST.,NEW YORK MILLS SECONDARY,Matching,9.05,4.69,8.53,621.66,Matching,Matching
MN,Blue Earth,27013,,11.3%,984,5,22,16.5,3,0,2,7093,929,Matching,44.157491,-94.009345,Matching,MANKATO PUBLIC SCHOOL DISTRICT,CENTRAL HIGH  AREA LEARNING CENTER,Matching,8.35,9.5,7,568.81,Matching,Matching
ME,Franklin,23007,,11.3%,349,5,12,6.6,4,0,1,2973,337,Matching,44.9036,-70.270264,Matching,RSU 58/MSAD 58,Mt Abram Regional High School,Matching,6.6,0,7.17,264.6,Matching,Matching
LA,Union,22111,1,11.2%,247,2,5,1,2,0,1,1322,61,Matching,32.77921,-92.408614,Matching,Union Parish,Union Parish Junior High School,Matching,0.5,1.1,1.3,153.84,Matching,Matching
TX,Hopkins,48223,,11.2%,759,7,16,11.11,10.5,0,1,4123,391,Matching,33.136487,-95.846866,Matching,CUMBY ISD,CUMBY H S,Matching,0,0,11,516.57,Matching,Matching
OH,Crawford,39033,,11.2%,950,8,22,21,1.5,0,2,8002,905,Matching,40.793374,-82.856553,Matching,Colonel Crawford Local,Col Crawford High School,Matching,6.5,10.5,11.5,562.34,Matching,Matching
IN,Miami,18103,,11.2%,658,3,11,12,8,0,1,5150,568,Matching,40.760574,-86.072875,Matching,Peru Community Schools,Peru High School,Matching,2,0,10,324.5,Matching,Matching
MI,Shiawassee,26155,,11.1%,1343,10,29,19,3,0,3,11216,1242,Matching,42.973701,-84.186279,Matching,Shiawassee Regional ESD,Shiawassee RESD - Student Learning Center - West,Matching,8,2.5,1,632.6,Matching,Matching
TX,Rusk,48401,,11.1%,1173,8,25,23.8,8.75,0,3,5311,507,Matching,32.26,-94.93,Matching,WEST RUSK COUNTY CONSOLIDATED ISD,WEST RUSK H S,Matching,0,0,17.42,773.11,Matching,Matching
IN,Wabash,18169,,11.1%,574,3,12,17,3.99,0,1,4770,541,Matching,40.750711,-85.780554,Matching,M S D Wabash County Schools,White's Jr-Sr High School,Matching,0,4,9,297,Matching,Matching
IN,Hendricks,18063,,11.0%,3140,6,40,56,25.5,0,6,22873,2733,Matching,39.823223,-86.374668,Matching,Brownsburg Community Sch Corp,Brownsburg East Middle School,Matching,5,15.58,42,1522.05,Matching,Matching
AZ,Gila,4007,,10.8%,839,12,22,11.25,3.33,0,3,3418,639,Matching,34.101447,-110.986897,Matching,Young Elementary District,Young High School,Matching,0,2.6,7.25,422.61,Matching,Matching
SD,Corson,46031,1,10.8%,91,3,9,4,2.1,0,1,112,0,Matching,45.674889,-100.504365,Matching,Smee School District 15-3,Wakpala High School - 01,Matching,0.99,0,2.34,82.58,Matching,Matching
MN,Goodhue,27049,,10.8%,818,7,24,28,6.66,0,3,6547,717,Matching,44.267835,-92.992044,Matching,KENYON-WANAMINGO SCHOOL DISTRICT,KENYON-WANAMINGO SENIOR HIGH,Matching,12.45,5.2,11.39,693.64,Matching,Matching
IN,Tippecanoe,18157,,10.6%,2301,3,34,45,29.5,0,4,13987,1780,Matching,40.398538,-86.875648,Matching,Lafayette School Corporation,Jefferson High School,Matching,7,2,24.25,1327.5,Matching,Matching
IL,Williamson,17199,,10.6%,1076,6,23,18.5,3,0,2,8660,941,Matching,37.753535,-89.074933,Matching,Carterville CUSD 5,Carterville Jr High Sch,Matching,6.75,1.25,18,533.39,Matching,Matching
TX,Tyler,48457,,10.5%,384,5,14,9,2,0,2,2873,353,Matching,30.695917,-94.178636,Matching,SPURGER ISD,SPURGER H S,Matching,0,0,9,279.28,Matching,Matching
IL,Madison,17119,,10.5%,3931,13,75,34,13,0,5,27938,2597,Matching,38.79,-90,Matching,Edwardsville CUSD 7,District 7 Alternative School,Matching,53,37.6,54.6,2241.02,Matching,Matching
NC,Avery,37011,,10.4%,274,3,14,7.04,7.9,0,1,2213,223,Matching,36.068646,-81.91423,Matching,Avery County Schools,Blue Ridge Academy,Matching,6.25,4.2,3.7,227.73,Matching,Matching
CT,Hartford,9003,,10.4%,12187,31,273,298.63,43.29,0,32,55269,7151,Matching,41.82487,-72.7169,Matching,BLOOMFIELD SCHOOL DISTRICT,Carmen Arace Middle School,Matching,220.36,207.08,283.81,9510.67,Matching,Matching
OK,Ottawa,40115,,10.3%,597,7,22,14.01,10.32,0,2,2752,287,Matching,36.774998,-94.680376,Matching,TURKEY FORD,TURKEY FORD PUBLIC SCHOOL,Matching,10,0,0,368.26,Matching,Matching
OH,Muskingum,39119,,10.3%,1579,9,31,25,10.1,0,6,13432,1338,Matching,39.95322,-82.017305,Matching,Zanesville City,Zanesville Middle School,Matching,3,37.26,7.59,861.28,Matching,Matching
IN,Wells,18179,,10.2%,485,3,9,11,4,0,1,4374,436,Matching,40.721926,-85.156642,Matching,M S D Bluffton-Harrison,Bluffton-Harrison Middle Sch,Matching,2,0,8,280.5,Matching,Matching
PA,Greene,42059,,10.2%,600,6,15,14.5,6.66,0,2,5724,590,Matching,39.803912,-79.93456,Matching,Southeastern Greene SD,Mapletown JSHS,Matching,7.5,7.8,11.5,462.7,Matching,Matching
MA,Middlesex,25017,,10.0%,17395,57,301,589.18,185.56,0,40,113177,11105,Matching,42.408349,-71.055823,Matching,Everett,Devens School,Matching,153.9,278.24,349.55,14193.52,Matching,Matching
TN,Smith,47159,,10.0%,256,1,6,5.5,4,0,1,2358,244,Matching,36.253611,-85.947504,Matching,Smith County,Smith County High School,Matching,0.1,0.1,0.2,169,Matching,Matching
MI,Washtenaw,26161,,9.9%,4726,26,97,75.79,16.56,0,11,29413,2132,Matching,42.247459,-83.720903,Matching,Ann Arbor Public Schools,Pathways To Success Academic Campus,Matching,60.16,37.86,22.16,2809.3,Matching,Matching
GA,Turner,13287,1,9.9%,139,1,4,4,2,0,1,436,46,Matching,31.709611,-83.649277,Matching,Turner County,Turner County Specialty School,Matching,0,0,2,100.49,Matching,Matching
WI,Waushara,55137,,9.9%,269,3,11,6.43,5,0,2,2081,221,Matching,44.06,-89.23,Matching,Wautoma Area School District,Wautoma High,Matching,0,2,1.55,205.84,Matching,Matching
TX,Wood,48499,,9.8%,611,6,18,14,0.99,0,1,4596,475,Matching,32.759122,-95.586302,Matching,ALBA-GOLDEN ISD,ALBA-GOLDEN H S,Matching,0,0,7.99,496.11,Matching,Matching
NY,Queens,36081,,9.8%,645,13,14,17,4,0,1,875,67,Matching,40.655627,-73.738437,Matching,SUCCESS ACADEMY CS - ROSEDALE,SUCCESS ACADEMY CS - ROSEDALE,Matching,10,3,14,474.46,Matching,Matching
MS,Bolivar,28011,,9.8%,640,3,23,18.5,13.5,0,2,1209,69,Matching,33.747662,-90.728954,Matching,CLEVELAND SCHOOL DIST,CLEVELAND HIGH SCHOOL,Matching,1,0,24.5,448.54,Matching,Matching
NY,Broome,36007,,9.8%,2660,12,50,70.5,13.35,0,5,20684,2396,Matching,42.076946,-75.805885,Matching,WINDSOR CENTRAL SCHOOL DISTRICT,FLOYD BELL ELEMENTARY SCHOOL,Matching,38.5,34.5,65.5,2349,Matching,Matching
FL,Broward,12011,,9.7%,24281,1,319,313,187,0,36,56485,4711,Matching,26.01,-80.21,Matching,BROWARD,WATKINS ELEMENTARY SCHOOL,Matching,6,0,0,7891,Matching,Matching
IN,Monroe,18105,,9.6%,1340,3,26,24,1,0,3,11126,1194,Matching,39.24,-86.64,Matching,Richland-Bean Blossom C S C,Edgewood High School,Matching,18,1.9,10.8,842.78,Matching,Matching
IL,Livingston,17105,,9.6%,587,12,24,12.5,1.2,0,1,5328,544,Matching,40.888452,-88.611387,Matching,Livingston Co Spec Services Unit,Livingston Co Crossroads Academy,Matching,9.06,9.1,5,488.73,Matching,Matching
MA,Plymouth,25023,,9.6%,11150,42,205,333.3,73.98,0,26,77364,9033,Matching,41.964569,-70.596297,Matching,Springfield,Springfield High School,Matching,53.9,128.03,218.98,8527.89,Matching,Matching
TX,Smith,48423,,9.6%,3410,10,63,68.66,42,0,6,14613,1203,Matching,32.364334,-95.345794,Matching,TYLER ISD,JOHN TYLER H S,Matching,0,4.52,48.62,2540.73,Matching,Matching
SC,Chester,45023,,9.5%,484,1,11,21,8,0,1,2414,88,Matching,34.7,-81.21,Matching,Chester 01,Chester Middle,Matching,0,0,7,368.5,Matching,Matching
OH,Ottawa,39123,,9.4%,523,5,16,8.6,4,0,3,4894,486,Matching,41.504298,-82.938998,Matching,Port Clinton City,Port Clinton High School,Matching,1,4,4.25,226,Matching,Matching
ME,Somerset,23025,,9.4%,630,12,31,22.25,3.81,0,4,6358,613,Matching,44.887546,-69.444723,Matching,RSU 19,Somerset Valley Middle School,Matching,7.66,2.31,11.8,535.39,Matching,Matching
FL,Monroe,12087,,9.4%,936,1,20,20.5,10,0,2,4456,375,Matching,24.587117,-81.748903,Matching,MONROE,KEY WEST COLLEGIATE SCHOOL,Matching,0,0,1,609.85,Matching,Matching
OH,Pike,39131,,9.3%,502,4,15,11.5,1.75,0,1,5109,475,Matching,39.051594,-83.005853,Matching,Pike County Area,Vern Riffe Career Technology C,Matching,0,4.49,5.99,315.9,Matching,Matching
MI,Jackson,26075,,9.3%,2138,15,56,29.5,8.11,0,5,17762,1949,Matching,42.240147,-84.411996,Matching,Jackson Public Schools,TA Wilson School,Matching,21.01,12.19,15.39,1213.54,Matching,Matching
AZ,Maricopa,4013,,9.3%,67492,310,1024,852.06,225.09,0,87,295776,9880,Matching,33.508047,-112.0834,Matching,Florence Crittenton Services of Arizona  Inc.,Girls Leadership Academy of Arizona,Matching,244.96,446.13,515.43,36269.46,Matching,Matching
IL,DuPage,17043,,9.2%,13107,45,229,265.65,48.3,0,28,77978,5377,Matching,41.989285,-88.086718,Matching,North DuPage Sp Ed Cooperative,Lincoln Academy,Matching,247.4,175.09,204.48,10094.83,Matching,Matching
FL,Hamilton,12047,1,9.2%,159,1,5,4,5,0,2,734,77,Matching,30.47,-82.97,Matching,HAMILTON,HAMILTON COUNTY HIGH SCHOOL,Matching,0,0,0,100,Matching,Matching
TX,Erath,48143,,9.1%,537,8,16,13,6.99,0,1,3460,334,Matching,32.193094,-98.253282,Matching,ERATH EXCELS ACADEMY INC,HUSTON ACADEMY,Matching,0,0,10.16,418.05,Matching,Matching
MI,Macomb,26099,,9.1%,11793,37,223,170.97,54,0,23,90342,8855,Matching,42.530255,-83.002334,Matching,Macomb ISD,Rockwell Middle School,Matching,123.63,56.59,8.3,6425.03,Matching,Matching
MN,Hennepin,27053,,9.1%,15796,67,330,272.95,94.7,0,45,86674,9276,Matching,44.994137,-93.300689,Matching,MINNEAPOLIS PUBLIC SCHOOL DIST.,NORTH ACADEMY ARTS/COMMUNICATION,Matching,261.41,143.28,148.65,11932.01,Matching,Matching
FL,Duval,12031,,9.1%,12775,3,212,258,196,0,37,47793,3707,Matching,30.348095,-81.634679,Matching,DUVAL,JOHN LOVE ELEMENTARY SCHOOL,Matching,3,0,1,7384,Matching,Matching
MI,Emmet,26047,,9.0%,434,6,16,9.1,4,0,2,4108,356,Matching,45.371606,-84.937654,Matching,Public Schools of Petoskey,Petoskey High School,Matching,0,0,1,272.36,Matching,Matching
LA,Morehouse,22067,1,8.9%,342,1,9,4.5,3,0,1,1269,13,Matching,32.93056,-91.88691,Matching,Morehouse Parish,Beekman Charter School,Matching,0,0,0,256,Matching,Matching
IL,Piatt,17147,1,8.9%,286,4,15,4.87,0.33,0,1,3030,265,Matching,39.921503,-88.568812,Matching,Bement CUSD 5,Bement Middle School,Matching,5.8,1,4.5,248.47,Matching,Matching
MA,Suffolk,25025,,8.9%,5482,24,119,168.55,56.25,0,11,9690,507,Matching,42.376623,-70.987539,Matching,Winthrop,Winthrop Sr High,Matching,35.1,27.66,108.7,4827.42,Matching,Matching
CT,Fairfield,9001,,8.8%,11826,33,234,372.12,65.09,0,29,73402,6497,Matching,41.040614,-73.586442,Matching,GREENWICH SCHOOL DISTRICT,Alternative High School Programs,Matching,191.15,233.5,263.8,10384.24,Matching,Matching
NC,Columbus,37047,,8.8%,831,4,25,18.36,8,0,1,4768,592,Matching,34.33,-78.71,Matching,Whiteville City Schools,Central Middle,Matching,4.01,0,13,642.82,Matching,Matching
TX,Palo Pinto,48363,,8.7%,467,6,15,10,4,0,1,3289,271,Matching,32.812949,-98.077137,Matching,MINERAL WELLS ISD,MINERAL WELLS ACADEMY,Matching,0,0.4,7,400.4,Matching,Matching
NC,Swain,37173,1,8.7%,184,2,5,1,0.15,0,1,1424,148,Matching,35.446914,-83.456004,Matching,Swain County Schools,Swain County High School,Matching,4,2,3,150.75,Matching,Matching
MI,St. Clair,26147,,8.7%,2192,10,52,18.8,10,0,7,21838,2005,Matching,42.72,-82.5,Matching,East China School District,Riverview East High School,Matching,5.2,3,3,1183.84,Matching,Matching
FL,Hendry,12051,,8.6%,616,1,11,13,10,0,1,1447,103,Matching,26.756266,-80.941552,Matching,HENDRY,CLEWISTON MIDDLE SCHOOL,Matching,0,0,0,392,Matching,Matching
CA,Santa Clara,6085,,8.4%,22208,32,380,292.49,38.88,0,35,56259,4623,Matching,37.320829,-121.85028,Matching,East Side Union High School District,Yerba Buena High,Matching,31.44,207.32,74.15,12166.31,Matching,Matching
NY,Orleans,36073,,8.4%,508,5,12,22,0.99,0,1,4923,406,Matching,43.319067,-78.024372,Matching,KENDALL CENTRAL SCHOOL DISTRICT,KENDALL JUNIOR-SENIOR HIGH SCHOOL,Matching,5.5,8.78,12,526.9,Matching,Matching
CA,Riverside,6065,,8.4%,33297,25,455,531.44,153.89,0,43,85507,8235,Matching,33.939822,-117.380276,Matching,Riverside Unified,Opportunity Program,Matching,47.07,210.69,130.13,16845.08,Matching,Matching
TX,Wise,48497,,8.4%,931,7,28,25.9,11.6,0,4,7252,622,Matching,33.292615,-97.813124,Matching,CHICO ISD,CHICO EL,Matching,1,1.7,18.4,864.9,Matching,Matching
MI,Kent,26081,,8.3%,8611,43,221,129.53,25.38,0,20,60845,2930,Matching,43.21687,-85.546256,Matching,Cedar Springs Public Schools,New Beginnings Alternative High School,Matching,91.82,49.73,34.7,5657.32,Matching,Matching
OR,Washington,41067,,8.3%,7134,7,127,189.19,71.1,0,12,45349,4437,Matching,45.435765,-123.14192,Matching,Gaston SD 511J,Gaston Elementary School,Matching,18.1,45.56,16.48,4501.55,Matching,Matching
GA,Sumter,13261,,8.3%,400,1,8,9.5,4.5,0,1,704,214,Matching,32.114262,-84.21443,Matching,Sumter County,Sumter County Middle School,Matching,0.25,0,0.5,305.4,Matching,Matching
IL,Franklin,17055,,8.2%,503,9,19,9.5,2,0,1,5806,484,Matching,37.89,-89.06,Matching,Zeigler-Royalton CUSD 188,Zeigler-Royalton Jr High School,Matching,4.5,1.25,11,437.5,Matching,Matching
OH,Butler,39017,,8.2%,4995,16,88,108.3,29.68,0,10,43951,3439,Matching,39.444663,-84.385027,Matching,Butler Technology & Career Development Schools,Butler Tech Natural Science Center,Matching,21.3,63.95,70.85,3527.42,Matching,Matching
AZ,Navajo,4017,,8.2%,1483,15,52,38,11,0,4,6924,1129,Matching,35.016731,-110.71047,Matching,Career Development  Inc.,Northern AZ Academy for Career Dev. - Winslow,Matching,4.99,6.87,21.1,1043.77,Matching,Matching
OK,Mayes,40097,,8.2%,608,8,23,17,11,0,4,3192,278,Matching,36.191369,-95.344786,Matching,CHOUTEAU-MAZIE,CHOUTEAU-MAZIE MS,Matching,3.5,0,5,490.41,Matching,Matching
TX,Harrison,48203,,8.1%,1046,7,27,36.5,10,0,2,6902,746,Matching,32.5,-94.58,Matching,HALLSVILLE ISD,HALLSVILLE J H,Matching,0,2.8,22.2,936.29,Matching,Matching
MI,Gratiot,26057,,8.1%,519,6,23,11.14,1,0,1,5627,454,Matching,43.39527,-84.651952,Matching,Alma Public Schools,Donald L. Pavlik  Middle School,Matching,7.14,1.58,2,364.5,Matching,Matching
NY,Bronx,36005,,8.0%,1612,52,52,62.7,38,0,6,170,8,Matching,40.814965,-73.912291,Matching,UNIVERSITY PREP CHARTER HIGH SCHOOL,UNIVERSITY PREP CHARTER HIGH SCHOOL,Matching,50.2,21.2,41.7,1571,Matching,Matching
MI,Genesee,26049,,8.0%,5290,35,139,88.7,38.63,0,15,42291,4062,Matching,43.083675,-83.698848,Matching,Beecher Community School District,Milton E. Tucker Middle School,Matching,64.32,20.37,24.69,3376.52,Matching,Matching
CA,Tulare,6107,,8.0%,8157,42,185,100.82,51.95,0,22,17281,1040,Matching,36.143597,-119.058263,Matching,Strathmore Union Elementary,Strathmore Community Day,Matching,10.46,61.5,74.4,4535.16,Matching,Matching
CA,Ventura,6111,,7.9%,11507,20,208,215.95,52.6,0,12,45484,3381,Matching,34.23276,-119.15459,Matching,Rio Elementary,Rio del Valle Middle,Matching,26,122.39,84.12,6147.23,Matching,Matching
CA,San Luis Obispo,6079,,7.9%,2750,11,78,59.72,14.7,0,7,17989,1681,Matching,35.510123,-120.704719,Matching,Los Angeles Unified,Sch of Hist and Dramatic Arts at Sonia Sotomayor Lrng Acads,Matching,0,37.48,23.76,1615.12,Matching,Matching
WI,Ozaukee,55089,,7.9%,966,5,25,24,2.6,0,3,10486,816,Matching,43.293345,-87.994965,Matching,Cedarburg School District,Cedarburg High,Matching,3,16.1,4.68,844.96,Matching,Matching
IA,Webster,19187,,7.7%,395,3,11,13.7,7,0,2,4055,305,Matching,42.279342,-94.294765,Matching,Prairie Valley Comm School District,Prairie Valley High School,Matching,0.5,0,7.92,335.28,Matching,Matching
UT,Davis,49011,,7.7%,6169,11,99,127.75,87,0,9,66942,5571,Matching,40.852796,-111.9324,Matching,SPECTRUM ACADEMY,SPECTRUM ACADEMY - NSL,Matching,4,38.15,11.79,3296.86,Matching,Matching
OH,Highland,39071,,7.7%,543,5,18,8.65,1,0,1,6561,502,Matching,39.2,-83.61,Matching,Hillsboro City,Hillsboro Middle School,Matching,0,2.13,4.49,345.84,Matching,Matching
NY,New York,36061,,7.6%,1670,47,46,81.5,33,0,4,663,26,Matching,40.799182,-73.933396,Matching,HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,HARLEM VILLAGE ACADEMY LEADERSHIP CHARTER SCHOOL,Matching,71,32,39.33,1812,Matching,Matching
DE,New Castle,10003,,7.4%,5838,25,120,180.1,30.49,0,10,32206,2569,Matching,39.779,-75.5983,Matching,Red Clay Consolidated School District,duPont (Alexis I.) Middle School,Matching,23.46,96.3,145.5,5350.54,Matching,Matching
NV,Humboldt,32013,,7.4%,303,1,15,6.1,2,0,8,2246,95,Matching,40.975132,-117.7296,Matching,HUMBOLDT COUNTY SCHOOL DISTRICT,Winnemucca Junior High School,Matching,2,2,1,214,Matching,Matching
MN,Ramsey,27123,,7.4%,6219,42,188,211.75,31.8,0,18,30723,3310,Matching,44.955777,-93.168999,Matching,ST. PAUL PUBLIC SCHOOL DISTRICT,A. G. A. P. E. TEEN PARENT,Matching,159.46,67.2,99.75,5589.07,Matching,Matching
MS,Monroe,28095,,7.3%,441,3,13,11,7,0,1,3727,16,Matching,33.830015,-88.550689,Matching,ABERDEEN SCHOOL DIST,SHIVERS MIDDLE SCHOOL,Matching,0,1,9,434.46,Matching,Matching
OH,Montgomery,39113,,7.3%,5456,46,148,160.67,58.9,0,13,45222,1193,Matching,39.742042,-84.403915,Matching,New Lebanon Local,Dixie Middle School,Matching,24.25,60.25,93.12,4634.24,Matching,Matching
WI,Richland,55103,,7.1%,159,3,13,56.3,3,0,1,2029,145,Matching,43.3446,-90.40283,Matching,Richland School District,Richland Center High,Matching,0.3,1.49,1.3,202.45,Matching,Matching
IL,Clinton,17027,,7.1%,387,12,19,7.25,1,0,1,4903,370,Matching,38.62,-89.37,Matching,Carlyle CUSD 1,Carlyle Junior High School,Matching,4,3,7.33,360.4,Matching,Matching
KS,Leavenworth,20103,,7.1%,921,7,25,25,7.5,0,2,9467,605,Matching,39.362762,-95.055597,Matching,Easton,Pleasant Ridge Middle,Matching,8,15.4,22,857.15,Matching,Matching
KS,Ottawa,20143,1,6.9%,86,2,6,2.75,4,0,1,1122,76,Matching,39.017765,-97.880091,Matching,Twin Valley,Tescott High,Matching,2.5,1.5,2,101.85,Matching,Matching
MD,Washington,24043,,6.9%,1539,1,45,52,8.07,0,5,15546,725,Matching,39.515427,-77.650174,Matching,Washingtion County Public Schools,Boonsboro High,Matching,13,11.24,41.76,1636.5,Matching,Matching
MI,Ionia,26067,,6.8%,603,8,25,15,5,0,3,7852,480,Matching,42.881222,-84.920123,Matching,Portland Public Schools,Portland High School,Matching,16.37,8.2,5,460.12,Matching,Matching
NC,Brunswick,37019,,6.7%,917,3,21,31.31,21.1,0,1,9219,682,Matching,34.038042,-78.238319,Matching,Brunswick County Schools,Brunswick County Academy,Matching,5.8,9.04,12.61,1005.5,Matching,Matching
IN,Allen,18003,,6.7%,3280,7,85,99,46.5,0,10,28942,886,Matching,41.064238,-85.189732,Matching,Fort Wayne Community Schools,Lindley Elementary School,Matching,37,20.73,63.75,2991.52,Matching,Matching
AR,Conway,5029,,6.7%,210,3,11,10,8.01,0,1,2403,187,Matching,35.163008,-92.733587,Matching,SO. CONWAY CO. SCHOOL DISTRICT,MORRILTON SR. HIGH SCHOOL,Matching,0,6,8.01,288.64,Matching,Matching
CA,San Bernardino,6071,,6.7%,26416,31,517,575.66,155.32,0,46,71191,7616,Matching,34.33,-117.48,Matching,Snowline Joint Unified,Eagle Summit Community Day,Matching,27.11,351,167.53,17254.59,Matching,Matching
IN,Montgomery,18107,,6.7%,363,3,14,15,10.72,0,1,4787,286,Matching,40.124816,-86.906734,Matching,North Montgomery Com Sch Corp,North Montgomery High School,Matching,0,0,12,348.03,Matching,Matching
MI,Van Buren,26159,,6.6%,1024,13,42,23.08,4,0,4,11080,649,Matching,42.408553,-86.245027,Matching,South Haven Public Schools,Career and Early College Academy,Matching,11.75,4.35,2.25,839.42,Matching,Matching
NJ,Warren,34041,,6.6%,1006,20,40,45.12,8.7,0,3,11692,597,Matching,40.612306,-75.164215,Matching,Pohatcong Township School District,Pohatcong Township School,Matching,32,25.85,42,1396.53,Matching,Matching
KS,Douglas,20045,,6.6%,991,3,28,34,7.91,0,3,10555,903,Matching,38.923695,-95.095815,Matching,Eudora,Eudora High  School,Matching,15.15,14.72,13.15,1013.77,Matching,Matching
MT,Stillwater,30095,,6.6%,94,13,18,72.12,4.16,0,3,1284,84,Matching,45.514713,-109.44765,Matching,Absarokee H S,Absarokee High School,Matching,0,50,0.55,125.87,Matching,Matching
CT,Middlesex,9007,,6.6%,2278,21,78,109.06,16.89,0,5,24784,1721,Matching,41.519813,-72.661742,Matching,REGIONAL SCHOOL DISTRICT 13,Francis E. Korn School,Matching,49.8,67.95,84,3061.62,Matching,Matching
OK,McClain,40087,,6.5%,517,7,22,19.82,7,0,1,5308,421,Matching,35.204546,-97.670889,Matching,BLANCHARD,BLANCHARD HS,Matching,0,1,2.75,452.62,Matching,Matching
TN,Campbell,47013,,6.5%,381,1,14,12,11,0,3,5702,381,Matching,36.385276,-84.111473,Matching,Campbell County,East Lafollette Learning Academy,Matching,1,0,7.25,382.5,Matching,Matching
NJ,Hudson,34017,,6.5%,5585,27,122,216.6,91.5,0,10,15824,856,Matching,40.748054,-74.044727,Matching,M.E.t.S. CHARTER SCHOOL,M.E.t.S. CHARTER SCHOOL,Matching,147.7,116.3,150,7166.2,Matching,Matching
IL,Macoupin,17117,,6.5%,493,9,26,9.16,1,0,1,7145,463,Matching,39.43,-89.99,Matching,Northwestern CUSD 2,Northwestern High School,Matching,1.33,2,9.82,462.6,Matching,Matching
OK,Pontotoc,40123,,6.5%,474,7,23,21.15,1.02,0,1,3497,187,Matching,34.767841,-96.609389,Matching,VANOSS,VANOSS HS,Matching,0,1.98,4.5,504.82,Matching,Matching
LA,St. Landry,22097,,6.5%,988,2,36,26,9.05,0,3,6001,234,Matching,30.528167,-92.202646,Matching,St. Martin Parish,Cecilia Junior High School,Matching,0,0,16.05,1016.5,Matching,Matching
KY,Campbell,21037,,6.5%,776,7,24,37.15,9.5,0,2,10275,569,Matching,38.99,-84.4,Matching,Campbell County,Campbell County Day Treatment,Matching,6,4.45,17.1,761.8,Matching,Matching
OH,Miami,39109,,6.4%,1025,9,34,41,10,0,3,14284,969,Matching,39.96,-84.34,Matching,Milton-Union Exempted Village,Milton-Union High School,Matching,3,23.6,19.33,938.53,Matching,Matching
OH,Clark,39023,,6.4%,1368,9,48,54.75,17.5,0,3,16155,1065,Matching,39.903596,-83.808099,Matching,Springfield City School District,Hayward Middle School,Matching,1.5,18.5,25.9,1433.17,Matching,Matching
IN,Delaware,18035,,6.3%,1028,9,36,35.33,14.4,0,3,12894,867,Matching,40.16599,-85.367229,Matching,Muncie Community Schools,Grissom Elementary School,Matching,8,8.33,26.4,1025.75,Matching,Matching
OK,Creek,40037,,6.2%,767,12,35,28.21,8.85,0,2,7730,419,Matching,35.799437,-96.505553,Matching,DEPEW,DEPEW HS,Matching,0,0,6,764.91,Matching,Matching
CA,Monterey,6053,,6.2%,4656,25,134,90.06,9.58,0,14,10411,813,Matching,36.313191,-121.24658,Matching,Greenfield Union Elementary,Vista Verde Middle,Matching,4,36.99,26.88,3538.92,Matching,Matching
FL,Collier,12021,,6.2%,2848,1,61,91,59,0,10,16355,1095,Matching,26.140635,-81.762534,Matching,COLLIER,THE PHOENIX PROGRAM NAPLES,Matching,0,0,0,2679.11,Matching,Matching
NM,Lincoln,35027,,6.2%,178,5,15,10.3,1,0,1,1137,61,Matching,33.349571,-105.64778,Matching,RUIDOSO MUNICIPAL SCHOOLS,RUIDOSO HIGH,Matching,1.29,1.35,6.8,205,Matching,Matching
WI,Jefferson,55055,,6.1%,648,7,29,23.82,10.68,0,1,8573,556,Matching,42.873844,-88.592321,Matching,Palmyra-Eagle Area School District,Palmyra-Eagle High,Matching,3.83,9.79,4.38,782.66,Matching,Matching
MO,Washington,29221,,6.1%,222,4,13,10.41,2,0,2,3517,212,Matching,38.01,-90.76,Matching,KINGSTON K-14,KINGSTON HIGH,Matching,3.05,0,5.86,289.92,Matching,Matching
OH,Lake,39085,,6.0%,1910,10,54,53.75,12,0,4,25530,1678,Matching,41.59969,-81.464716,Matching,Wickliffe City,Wickliffe High School,Matching,4.1,33.09,41.68,1865.9,Matching,Matching
MS,Jasper,28061,1,6.0%,112,2,6,3.2,3.4,0,1,551,0,Matching,31.988853,-89.293825,Matching,WEST JASPER CONSOLIDATED SCHOOLS,BAY SPRINGS MIDDLE SCH,Matching,0,0,2,133.5,Matching,Matching
